,Host_strain,Influenza_virus_name,LD50
0,C57BL/6,A/HongKong/1/1968(H3N2),7
1,C57BL/6,A/Netherlands/602/2009(H1N1),5
2,C57BL/6,A/Brisbane/10/2007(H3N2),7
3,C57BL/6,A/Wisconsin/67/2005(H3N2),7
4,C57BL/6,A/Panama/2007/1999(H3N2),7
5,C57BL/6,A/Brisbane/59/2007(H1N1),7
6,C57BL/6,A/NewCaledonia/20/1999(H1N1),6
7,C57BL/6,A/SolomonIslands/3/2006(H1N1),6
8,C57BL/6,B/Victoria/2/1987,5
9,C57BL/6,B/Yamagata/16/1988,6
10,C57BL/6,A/swine/Spain/53207/2004(H1N1),6
11,C57BL/6,A/swine/Kansas/77778/2007(H1N1),3
12,C57BL/6,A/swine/Spain/40564/2002(H1N2),5
13,C57BL/6,A/swine/Spain/54008/2004(H3N2),7
14,C57BL/6,A/swine/Texas/4199-2/1998(H3N2),7
15,C57BL/6,A/duck/Alberta/35/1976(H1N1),7
16,C57BL/6,A/duck/Ukraine/1/1963(H3N8),7
17,C57BL/6,rA/PR8(123578)/ALB76(46)(H1N1),4
18,C57BL/6,rA/PR8(123578)/UKR63(46)(H3N8),7
19,C57BL/6,A/PuertoRico/8/1934(H1N1),4
20,C57BL/6,rA/X-31(H3N2),6
21,C57BL/6,B/Lee/1940,5
22,DBA.2,A/HongKong/1/1968(H3N2),6
23,DBA.2,A/Netherlands/602/2009(H1N1),1
24,DBA.2,A/Brisbane/10/2007(H3N2),7
25,DBA.2,A/Wisconsin/67/2005(H3N2),7
26,DBA.2,A/Panama/2007/1999(H3N2),7
27,DBA.2,A/Brisbane/59/2007(H1N1),6
28,DBA.2,A/NewCaledonia/20/1999(H1N1),5
29,DBA.2,A/SolomonIslands/3/2006(H1N1),4
30,DBA.2,B/Victoria/2/1987,3
31,DBA.2,B/Yamagata/16/1988,6
32,DBA.2,A/swine/Spain/53207/2004(H1N1),3
33,DBA.2,A/swine/Kansas/77778/2007(H1N1),2
34,DBA.2,A/swine/Spain/40564/2002(H1N2),2
35,DBA.2,A/swine/Spain/54008/2004(H3N2),6
36,DBA.2,A/swine/Texas/4199-2/1998(H3N2),6
37,DBA.2,A/duck/Alberta/35/1976(H1N1),7
38,DBA.2,A/duck/Ukraine/1/1963(H3N8),7
39,DBA.2,rA/PR8(123578)/ALB76(46)(H1N1),2
40,DBA.2,rA/PR8(123578)/UKR63(46)(H3N8),6
41,DBA.2,A/PuertoRico/8/1934(H1N1),1
42,DBA.2,rA/X-31(H3N2),1
43,DBA.2,B/Lee/1940,4
44,C57BL/6 MX1++,A/hvPR8/1934(H1N1),3
45,C57BL/6 MX1++,A/lvPR8/1934(H1N1),7
46,C57BL/6 MX1++,rA/hvPR8/1934(H1N1),3
47,C57BL/6 MX1++,rA/lvPR8/1934(H1N1),6
48,C57BL/6 MX1++,rA/hvPR8(2345678)/lvPR8(1)(H1N1),3
49,C57BL/6 MX1++,rA/hvPR8(1345678)/lvPR8(2)(H1N1),3
50,C57BL/6 MX1++,rA/hvPR8(1245678)/lvPR8(3)(H1N1),3
51,C57BL/6 MX1++,rA/hvPR8(1235678)/lvPR8(4)(H1N1),4
52,C57BL/6 MX1++,rA/hvPR8(1234678)/lvPR8(5)(H1N1),3
53,C57BL/6 MX1++,rA/hvPR8(1234578)/lvPR8(6)(H1N1),3
54,C57BL/6 MX1++,rA/hvPR8(1234568)/lvPR8(7)(H1N1),3
55,C57BL/6 MX1++,rA/hvPR8(1234567)/lvPR8(8)(H1N1),3
56,C57BL/6 MX1++,rA/hvPR8(123578)/lvPR8(46)(H1N1),7
57,C57BL/6 MX1++,rA/hvPR8(4)/lvPR8(1235678)(H1N1),5
58,C57BL/6 MX1++,rA/hvPR8(6)/lvPR8(1234578)(H1N1),7
59,C57BL/6 MX1++,rA/hvPR8(46)/lvPR8(123578)(H1N1),5
60,C57BL/6 MX1++,rA/hvPR8(123)/lvPR8(45678)(H1N1),7
61,C57BL/6 MX1++,rA/hvPR8(12346)/lvPR8(578)(H1N1),3
63,C57BL/6,A/Hamburg/05/2009(H1N1),6
64,C57BL/6,A/Hamburg/NY1580/2009(H1N1),4
65,C57BL/6,A/Thailand/KAN-1/2004 (H5N1),2
66,BALB/C,A/SolomonIslands/3/2006(H1N1),7
67,BALB/C,A/Hamburg/05/2009(H1N1),7
68,BALB/C,A/Hamburg/NY1580/2009(H1N1),7
69,BALB/C,A/Thailand/KAN-1/2004 (H5N1),1
74,C57BL/6,rA/Hamburg/05/2009(H1N1),6
76,C57BL/6,rA/Hamburg/NY1580/2009(H1N1),4
78,C57BL/6,rA/HH05(2345678)/HH15(1)(H1N1),6
79,C57BL/6,rA/HH05(1345678)/HH15(3)(H1N1),5
80,C57BL/6,rA/HH05(1234678)/HH15(5)(H1N1),4
81,C57BL/6,rA/HH05(1235678)/HH15(4)(H1N1),4
82,C57BL/6,rA/HH05(1234578)/HH15(6)(H1N1),5
83,C57BL/6,rA/HH05(1234567)/HH15(8)(H1N1),6
84,C57BL/6,rA/HH05(24678)/HH15(135)(H1N1),4
85,C57BL/6,rA/HH05(123578)/HH15(46)(H1N1),4
86,C57BL/6,rA/Hamburg/05/NP100I/2009(H1N1),4
87,C57BL/6,rA/Hamburg/05/NP133L/2009(H1N1),3
88,C57BL/6,rA/Hamburg/05/NP373T/2009(H1N1),4
89,C57BL/6,rA/PuertoRico/8/1934(H1N1),4
90,C57BL/6,rA/PR8(1234567)/MI63(8)(H1N1),5
91,C57BL/6,rA/PR8(1234567)/KYG11(8)(H1N1),8
92,C57BL/6,A/PR8/LAIV/1934(H1N1),5
96,C57BL/6,A/PR8/11C/1934(H1N1),4
101,C57BL/6,A/PR8/LAIV11C/1934(H1N1),5
106,C57BL/6,A/seal/Massachussetts/1-SC35M/1980(H7N7),4
108,C57BL/6,A/swan/Germany/R65/2006(H5N1),2
109,C57BL/6,A/Shanghai/4664T/2013(H7N9),6
110,BALB/C,A/Shanghai/4664T/2013 (H7N9),6
111,ICR,A/Shanghai/4664T/2013 (H7N9),6
114,C57BL/6,A/HongKong/156/1997(H5N1),3
115,BALB/C,A/HongKong/156/1997(H5N1),6
116,BALB/C,A/goose/HongKong/437-6/1999(H5N1),5
117,BALB/C,A/HongKong/1073/99(H9N2),5
118,BALB/C,R102 = rA/GSHK437(12345678)(H5N1),5
119,BALB/C,R103 = rA/HK1073(15)/GSHK437(234678)(H5N1),5
120,BALB/C,R105 = rA/HK1073(12345678)(H9N2),5
122,C57BL/6,A/PR8M/1934(H1N1),4
123,C57BL/6,A/PR8F/1934(H1N1),4
124,C57BL/6,A/hvPR8/1934(H1N1),4
127,C57BL/6,rA/PR8M(1235678)/PR8F(4)(H1N1),4
128,DBA/2,A/PR8M/1934(H1N1),4
129,DBA/2,A/PR8F/1934(H1N1),4
130,DBA/2,A/hvPR8/1934(H1N1),4
131,C57BL/6,A/Hunan/42443/2015(H1N1),5
132,C57BL/6,A/Jiangsu/1/2011(H1N1),7
135,C57BL/6,rA/BJ89(123578)/PR8(46)(H1N1),6
136,C57BL/6,A/PuertoRico/8/1934/MountSinai(H1N1),6
137,C57BL/6,A/Brazil/11/1978(H1N1),6
138,C57BL/6,rA/PR8vMountSinai(1235678)/BRAZ78(4)(H1N1),6
140,C57BL/6,A/Hamburg/4/2009(H1N1) HA4 (pH1N1),4
142,C57BL/6,maA/HongKong/1/1968(H3N2),3
144,C57BL/6,A/Memphis/1/1971(H3N2),5
145,C57BL/6,A/Bellamy/1942(H1N1),5
146,C57BL/6,rA/swine/Sweden/1021/2009(H1N2),5
147,C57BL/6,rA/swine/Sweden/9706/2010(H1N2),7
148,C57BL/6,rA/SWE1021(1345678)/SWE9706(2)(H1N2),6
151,C57BL/6,rA/SWE1021(2)/SWE9706(1345678)(H1N2),6
158,A/J,maA/HongKong/1/1968(H3N2),3
162,129S1/SvImJ,maA/HongKong/1/1968(H3N2),3
166,NOD/ShiLtJ,maA/HongKong/1/1968(H3N2),3
170,NZO/HILtJ,maA/HongKong/1/1968(H3N2),4
176,CAST/EiJ,maA/HongKong/1/1968(H3N2),3
180,PWK/PhJ,maA/HongKong/1/1968(H3N2),4
186,WSB/EiJ,maA/HongKong/1/1968(H3N2),3
190,C57BL/6,A/mallard/Korea/W452/2014(H5N8),3
191,C57BL/6,A/ma452-G1-1/2014(H5N8),3
192,C57BL/6,A/ma452-G3-1/2014(H5N8),3
193,C57BL/6,A/ma452-G3-2/2014(H5N8),3
194,C57BL/6,A/ma452-G4-1/2014(H5N8),3
195,C57BL/6,A/environment/Korea/W468/2014(H5N8),3
196,C57BL/6,A/ma468-G1-1/2014(H5N8),3
197,C57BL/6,A/ma468-G1-2/2014(H5N8),3
198,C57BL/6,A/ma468-G2-1/2014(H5N8),3
199,C57BL/6,A/ma468-G2-2/2014(H5N8),3
200,C57BL/6,A/ma468-G2-3/2014(H5N8),3
201,C57BL/6,A/ma468-G4-2/2014(H5N8),3
202,BALB/C,A/mallard/Korea/W452/2014(H5N8),3
203,BALB/C,A/ma452-G1-1/2014(H5N8),3
204,BALB/C,A/ma452-G3-1/2014(H5N8),3
205,BALB/C,A/ma452-G3-2/2014(H5N8),3
206,BALB/C,A/ma452-G4-1/2014(H5N8),3
207,BALB/C,A/environment/Korea/W468/2014(H5N8),3
208,BALB/C,A/ma468-G1-1/2014(H5N8),3
209,BALB/C,A/ma468-G1-2/2014(H5N8),3
210,BALB/C,A/ma468-G2-1/2014(H5N8),3
211,BALB/C,A/ma468-G2-2/2014(H5N8),3
212,BALB/C,A/ma468-G2-3/2014(H5N8),3
213,BALB/C,A/ma468-G4-2/2014(H5N8),3
214,C57BL/6,rA/PR8(1234678)/NL94(5)(H1N1),4
215,C57BL/6,rA/PR8(1234678)/NL94(5)/G384R(H1N1),4
220,BALB/CByJ,A/PuertoRico/8/1934(H1N1),4
221,FVB/NJ,A/PuertoRico/8/1934(H1N1),4
222,A/J,A/PuertoRico/8/1934(H1N1),4
223,CBA/J,A/PuertoRico/8/1934(H1N1),4
224,SJL/JOrlCrl,A/PuertoRico/8/1934(H1N1),4
225,DBA/2J,A/PuertoRico/8/1934(H1N1),2
226,DBA/2J,A/seal/Massachussetts/1-SC35M/1980(H7N7),5
230,C57BL/6,A/PR8/Mutant(H1N1),4
231,C57BL/6 IFNAR-/-,A/PuertoRico/8/1934(H1N1),4
232,C57BL/6 IFNAR-/-,A/PR8/Mutant(H1N1),4
233,BALB/C,A/PuertoRico/8/1934(H1N1),3
234,BALB/C,A/PR8/Mutant(H1N1),3
235,BALB/C,rA/PR8(2345678)/PR8M(1)(H1N1),3
236,BALB/C,rA/PR8(1345678)/PR8M(2)(H1N1),3
237,BALB/C,rA/PR8(1245678)/PR8M(3)(H1N1),3
238,BALB/C,rA/PR8(1235678)/PR8M(4)(H1N1),3
239,BALB/C,rA/PR8(1234678)/PR8M(5)(H1N1),3
240,BALB/C,rA/PR8(1234578)/PR8M(6)(H1N1),3
241,BALB/C,rA/PR8(1234567)/PR8M(8)(H1N1),3
242,BALB/C,rA/PR8(4678)/PR8M(1235)(H1N1),3
243,DBA/2J,rA/PR8(4678)/PR8M(1235)(H1N1),3
244,C57BL/6,rA/PR8(4678)/PR8M(1235)(H1N1),3
245,C57BL/6 IFNAR-/-,rA/PR8(4678)/PR8M(1235)(H1N1),3
246,C57BL/6,A/Anhui/1/2013(H7N9),5
247,C57BL/6,A/AH1/KN(H7N9),4
248,C57BL/6,A/AH1/EN(H7N9),7
249,BALB/C,A/Narita/1/2009/MDCK(H1N1),7
250,BALB/C,A/Narita/1/2009/MDCK15(H1N1),7
251,BALB/C,A/Narita/1/2009/Egg(H1N1),6
252,BALB/C,A/Narita/1/2009/Egg15(H1N1),6
253,BALB/C,A/Narita/1/2009/Mouse15(H1N1),4
254,BALB/C,A/California/04/2009(H1N1),5
255,BALB/C,A/California/04/MA1/I/2009(H1N1),2
256,BALB/C,A/California/04/MA2/I/2009(H1N1),2
257,BALB/C,A/Tennessee/1-560/2009(H1N1),6
258,BALB/C,A/Tennessee/1-560/MA1/I/2009(H1N1),3
259,BALB/C,A/Tennessee/1-560/MA2/I/2009(H1N1),1
260,C57BL/6,A/California/04/2009(H1N1),4
265,BALB/C,A/Puerto Rico/8/1934(H1N1),3
266,BALB/C,rA/X-31(H3N2),6
267,BALB/C,A/WSN/1933(H1N1),3
268,BALB/C,A/Philippines/2/1982,3
269,BALB/C,A/SouthCarolina/1/1918(H1N1),4
270,BALB/C,A/Texas/36/1991(H1N1),7
271,BALB/C,rA/SC18(45678)/TX91(123)(H1N1),6
272,BALB/C,rA/SC18(1235678)/TX91(4)(H1N1),7
273,BALB/C,rA/WSN33(123578)/SC18(46)(H1N1),4
275,BALB/C,rA/M88(123578)/SC18(46)(H1N1),6
276,BALB/C,rA/M88(123578)/SC18(4)/K173(6)(H1N1),5
277,BALB/C,A/Memphis/8/1988(H3N2),7
278,BALB/C,rA/M88(123578)/WSN33(46)(H1N1),7
279,BALB/C,rA/K173(123578)/SC18(46)(H1N1),7
280,BALB/C,rA/K173(1235678)/SC18(4)(H1N1),6
281,BALB/C,A/Kawasaki/173/2001(H1N1),8
282,BALB/C,rA/K173(123578)/WSN33(46)(H1N1),7
283,BALB/C,A/Netherlands/219/2003(H7N7),2
284,BALB/C,A/chicken/CT/260413-2/2003(H7N2),8
286,BALB/C,A/Texas/15/2009(H1N1),7
287,BALB/C,A/Mexico/4108/2009(H1N1),7
288,BALB/C,A/Mexico/4482/2009(H1N1),7
289,BALB/C,A/Mexico/InDRE4487/2009(H1N1),7
290,BALB/C,A/NewJersey/8/1976(H1N1),7
292,BALB/C,A/VietNam/1203/2004(H5N1),2
294,BALB/C,A/turkey/England/1963(H7N3),1
295,BALB/C,A/turkey/VA/55/2002(H7N2),6
296,BALB/C,A/turkey/Utah/24721-10/1995(H7N3),6
297,BALB/C,A/HongKong/483/1997(H5N1),3
298,BALB/C,A/HongKong/485/1997(H5N1),3
300,BALB/C,A/HongKong/486/1997(H5N1),8
303,BALB/C,A/Kawasaki/UTK-4/2009(H1N1),7
305,BALB/C,A/VietNam/1204/2004(H5N1),4
306,BALB/C,A/Thailand/16/2004(H5N1),2
309,BALB/C,A/chicken/Indonesia/7/2003(H5N1),8
310,BALB/C,A/chicken/Korea/es/2003(H5N1),8
311,BALB/C,A/ruddyturnstone/Delaware/650625/2002(H6N1),6
313,DBA/2,A/California/04/2009(H1N1),7
314,BALB/C,A/California/04/MA1/Y/2009(H1N1),4
315,BALB/C,rA/CA04(1235678)/CA04MA1Y(4)(H1N1),7
316,BALB/C,rA/CA04(125678)/CA04MA1Y(34)(H1N1),5
317,BALB/C,rA/CA04(123678)/CA04MA1Y(45)(H1N1),5
318,BALB/C,rA/CA04(12678)/CA04MA1Y(345)(H1N1),4
319,BALB/C,A/Netherlands/602/2009(H1N1),7
320,BALB/C,rA/NL602(1235678)/NY18(4)(H1N1),7
321,BALB/C,rA/NL602(1235678)/CA04MA1Y(4)(H1N1),4
