Reference	Host_strain	Influenza_virus_name	LD50	LD50_unit	Notes on LD50
Pica et al., 2011	C57BL/6	A/HongKong/1/1968(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/Netherlands/602/2009(H1N1)	10E4.3	PFU	
Pica et al., 2011	C57BL/6	A/Brisbane/10/2007(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/Wisconsin/67/2005(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/Panama/2007/1999(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/Brisbane/59/2007(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/NewCaledonia/20/1999(H1N1)	10E5.9	PFU	Average LD50 from 10E5.5 and 10E6.3
Pica et al., 2011	C57BL/6	A/SolomonIslands/3/2006(H1N1)	10E5.3	PFU	LD50 more than 10E5.3
Pica et al., 2011	C57BL/6	B/Victoria/2/1987	10E4.7	PFU	
Pica et al., 2011	C57BL/6	B/Yamagata/16/1988	10E5.0	PFU	
Pica et al., 2011	C57BL/6	A/swine/Spain/53207/2004(H1N1)	10E5.7	PFU	
Pica et al., 2011	C57BL/6	A/swine/Kansas/77778/2007(H1N1)	10E2.5	PFU	
Pica et al., 2011	C57BL/6	A/swine/Spain/40564/2002(H1N2)	10E4.7	PFU	
Pica et al., 2011	C57BL/6	A/swine/Spain/54008/2004(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/swine/Texas/4199-2/1998(H3N2)	10E6.2	PFU	
Pica et al., 2011	C57BL/6	A/duck/Alberta/35/1976(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/duck/Ukraine/1/1963(H3N8)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	rA/PR8(123578)/ALB76(46)(H1N1)	10E3.5	PFU	
Pica et al., 2011	C57BL/6	rA/PR8(123578)/UKR63(46)(H3N8)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	C57BL/6	A/PuertoRico/8/1934(H1N1)	10E1.4	PFU	Average LD50 from 10E1.3 and 10E1.5
Pica et al., 2011	C57BL/6	rA/X-31(H3N2)	10E5.3	PFU	
Pica et al., 2011	C57BL/6	B/Lee/1940	10E4.4	PFU	Average LD50 from 10E4.3 and 10E4.5
Pica et al., 2011	DBA.2	A/HongKong/1/1968(H3N2)	10E5.5	PFU	
Pica et al., 2011	DBA.2	A/Netherlands/602/2009(H1N1)	10E0.5	PFU	
Pica et al., 2011	DBA.2	A/Brisbane/10/2007(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	DBA.2	A/Wisconsin/67/2005(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	DBA.2	A/Panama/2007/1999(H3N2)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	DBA.2	A/Brisbane/59/2007(H1N1)	10E5.5	PFU	
Pica et al., 2011	DBA.2	A/NewCaledonia/20/1999(H1N1)	10E4.3	PFU	Average LD50 from 10E3.8 and 10E4.7
Pica et al., 2011	DBA.2	A/SolomonIslands/3/2006(H1N1)	10E3.9	PFU	LD50 more than 10E3.9
Pica et al., 2011	DBA.2	B/Victoria/2/1987	10E2.5	PFU	
Pica et al., 2011	DBA.2	B/Yamagata/16/1988	10E5.0	PFU	Average LD50 from 10E4.5 and 10E5.4
Pica et al., 2011	DBA.2	A/swine/Spain/53207/2004(H1N1)	10E2.2	PFU	
Pica et al., 2011	DBA.2	A/swine/Kansas/77778/2007(H1N1)	10E1.0	PFU	
Pica et al., 2011	DBA.2	A/swine/Spain/40564/2002(H1N2)	10E1.3	PFU	
Pica et al., 2011	DBA.2	A/swine/Spain/54008/2004(H3N2)	10E5.5	PFU	
Pica et al., 2011	DBA.2	A/swine/Texas/4199-2/1998(H3N2)	10E5.7	PFU	
Pica et al., 2011	DBA.2	A/duck/Alberta/35/1976(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	DBA.2	A/duck/Ukraine/1/1963(H3N8)	10E6.0	PFU	LD50 more than 10E6.0
Pica et al., 2011	DBA.2	rA/PR8(123578)/ALB76(46)(H1N1)	10E1.2	PFU	
Pica et al., 2011	DBA.2	rA/PR8(123578)/UKR63(46)(H3N8)	10E5.5	PFU	
Pica et al., 2011	DBA.2	A/PuertoRico/8/1934(H1N1)	10E0.4	PFU	Average LD50 from 10E0.3 and 10E0.5
Pica et al., 2011	DBA.2	rA/X-31(H3N2)	10E0.7	PFU	
Pica et al., 2011	DBA.2	B/Lee/1940	10E3.5	PFU	Average LD50 from 10E3.5 and 10E3.5
Grimm et al., 2007	C57BL/6 MX1++	A/hvPR8/1934(H1N1)	10E2.0	PFU	LD50 less than 10E2.0
Grimm et al., 2007	C57BL/6 MX1++	A/lvPR8/1934(H1N1)	10E6.0	PFU	LD50 more than 10E6.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8/1934(H1N1)	10E2.0	PFU	LD50 less than 10E2.0
Grimm et al., 2007	C57BL/6 MX1++	rA/lvPR8/1934(H1N1)	10E5.8	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(2345678)/lvPR8(1)(H1N1)	10E2.5	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1345678)/lvPR8(2)(H1N1)	10E2.0	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1245678)/lvPR8(3)(H1N1)	10E2.0	PFU	LD50 less than 10E2.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1235678)/lvPR8(4)(H1N1)	10E3.0	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1234678)/lvPR8(5)(H1N1)	10E2.0	PFU	LD50 less than 10E2.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1234578)/lvPR8(6)(H1N1)	10E2.8	PFU	
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1234568)/lvPR8(7)(H1N1)	10E2.0	PFU	LD50 less than 10E2.0
Grimm et al., 2007	C57BL/6 MX1++	rA/hvPR8(1234567)/lvPR8(8)(H1N1)	10E2.0	PFU	LD50 less than 10E2.0
