,Unnamed: 0,Host_strain,Influenza_virus_name,LD50
0,0,C57BL6NJ,A.HongKong.1.1968.H3N2.1,7
1,1,C57BL6NJ,A.HongKong.1.1968.H3N2.2,7
2,2,C57BL6NJ,A.HongKong.1.1968.H3N2.3,7
3,3,C57BL6NJ,A.Netherlands.602.2009.H1N1.1,5
4,4,C57BL6NJ,A.Brisbane.10.2007.H3N2.1,7
5,5,C57BL6NJ,A.Brisbane.10.2007.H3N2.2,7
6,6,C57BL6NJ,A.Wisconsin.67.2005.H3N2.1,7
7,7,C57BL6NJ,A.Wisconsin.67.2005.H3N2.2,7
8,8,C57BL6NJ,A.Panama.2007.1999.H3N2.1,7
9,9,C57BL6NJ,A.Panama.2007.1999.H3N2.2,7
10,10,C57BL6NJ,A.Panama.2007.1999.H3N2.3,7
11,11,C57BL6NJ,A.Panama.2007.1999.H3N2.4,7
12,12,C57BL6NJ,A.Brisbane.59.2007.H1N1.1,7
13,13,C57BL6NJ,A.NewCaledonia.20.1999.H1N1.1,6
14,14,C57BL6NJ,A.NewCaledonia.20.1999.H1N1.2,6
15,15,C57BL6NJ,A.SolomonIslands.3.2006.H1N1.1,6
16,16,C57BL6NJ,B.Victoria.2.1987.1,5
17,17,C57BL6NJ,B.Victoria.2.1987.2,5
18,18,C57BL6NJ,B.Yamagata.16.1988.1,6
19,19,C57BL6NJ,A.swine.Spain.53207.2004.H1N1.1,6
20,20,C57BL6NJ,A.swine.Kansas.77778.2007.H1N1.1,3
21,21,C57BL6NJ,A.swine.Spain.40564.2002.H1N2.1,5
22,22,C57BL6NJ,A.swine.Spain.54008.2004.H3N2.1,7
23,23,C57BL6NJ,A.swine.Texas.4199-2.1998.H3N2.1,7
24,24,C57BL6NJ,A.duck.Alberta.35.1976.H1N1.1,7
25,25,C57BL6NJ,A.duck.Alberta.35.1976.H1N1.2,7
26,26,C57BL6NJ,A.duck.Ukraine.1.1963.H3N8.1,7
27,27,C57BL6NJ,A.duck.Ukraine.1.1963.H3N8.2,7
28,28,C57BL6NJ,rA.PR8(123578).ALB76(46).H1N1.1,4
29,29,C57BL6NJ,rA.PR8(123578).ALB76(46).H1N1.2,4
30,30,C57BL6NJ,rA.PR8(123578).UKR63(46).H3N8.1,7
31,31,C57BL6NJ,rA.PR8(123578).UKR63(46).H3N8.2,7
32,32,C57BL6NJ,A.PuertoRico.8.1934.H1N1.1,4
33,33,C57BL6NJ,A.PuertoRico.8.1934.H1N1.2,4
34,34,C57BL6NJ,A.PuertoRico.8.1934.H1N1.3,4
35,35,C57BL6NJ,rA.X-31.H3N2.1,6
36,36,C57BL6NJ,rA.X-31.H3N2.2,6
37,37,C57BL6NJ,B.Lee.1940.1,5
38,38,C57BL6NJ,B.Lee.1940.2,5
39,39,C57BL6NJ,B.Lee.1940.3,5
40,40,C57BL6NJ,B.Lee.1940.4,5
41,41,DBA2J,A.HongKong.1.1968.H3N2.1,6
42,42,DBA2J,A.HongKong.1.1968.H3N2.2,6
43,43,DBA2J,A.HongKong.1.1968.H3N2.3,6
44,44,DBA2J,A.Netherlands.602.2009.H1N1.1,1
45,45,DBA2J,A.Brisbane.10.2007.H3N2.1,7
46,46,DBA2J,A.Brisbane.10.2007.H3N2.2,7
47,47,DBA2J,A.Wisconsin.67.2005.H3N2.1,7
48,48,DBA2J,A.Wisconsin.67.2005.H3N2.2,7
49,49,DBA2J,A.Panama.2007.1999.H3N2.1,7
50,50,DBA2J,A.Panama.2007.1999.H3N2.2,7
51,51,DBA2J,A.Panama.2007.1999.H3N2.3,7
52,52,DBA2J,A.Panama.2007.1999.H3N2.4,7
53,53,DBA2J,A.Brisbane.59.2007.H1N1.1,6
54,54,DBA2J,A.NewCaledonia.20.1999.H1N1.1,5
55,55,DBA2J,A.NewCaledonia.20.1999.H1N1.2,5
56,56,DBA2J,A.SolomonIslands.3.2006.H1N1.1,4
57,57,DBA2J,B.Victoria.2.1987.1,3
58,58,DBA2J,B.Victoria.2.1987.2,3
59,59,DBA2J,B.Yamagata.16.1988.1,6
60,60,DBA2J,A.swine.Spain.53207.2004.H1N1.1,3
61,61,DBA2J,A.swine.Kansas.77778.2007.H1N1.1,2
62,62,DBA2J,A.swine.Spain.40564.2002.H1N2.1,2
63,63,DBA2J,A.swine.Spain.54008.2004.H3N2.1,6
64,64,DBA2J,A.swine.Texas.4199-2.1998.H3N2.1,6
65,65,DBA2J,A.duck.Alberta.35.1976.H1N1.1,7
66,66,DBA2J,A.duck.Alberta.35.1976.H1N1.2,7
67,67,DBA2J,A.duck.Ukraine.1.1963.H3N8.1,7
68,68,DBA2J,A.duck.Ukraine.1.1963.H3N8.2,7
69,69,DBA2J,rA.PR8(123578).ALB76(46).H1N1.1,2
70,70,DBA2J,rA.PR8(123578).ALB76(46).H1N1.2,2
71,71,DBA2J,rA.PR8(123578).UKR63(46).H3N8.1,6
72,72,DBA2J,rA.PR8(123578).UKR63(46).H3N8.2,6
73,73,DBA2J,A.PuertoRico.8.1934.H1N1.1,1
74,74,DBA2J,A.PuertoRico.8.1934.H1N1.2,1
75,75,DBA2J,A.PuertoRico.8.1934.H1N1.3,1
76,76,DBA2J,rA.X-31.H3N2.1,1
77,77,DBA2J,rA.X-31.H3N2.2,1
78,78,DBA2J,B.Lee.1940.1,4
79,79,DBA2J,B.Lee.1940.2,4
80,80,DBA2J,B.Lee.1940.3,4
81,81,DBA2J,B.Lee.1940.4,4
82,82,C57BL6NJ,A.hvPR8.1934.H1N1.1,3
83,83,C57BL6NJ,A.lvPR8.1934.H1N1.1,7
84,84,C57BL6NJ,rA.hvPR8.1934.H1N1.1,3
85,85,C57BL6NJ,rA.lvPR8.1934.H1N1.1,6
86,86,C57BL6NJ,rA.hvPR8(2345678).lvPR8(1).H1N1.1,3
87,87,C57BL6NJ,rA.hvPR8(1345678).lvPR8(2).H1N1.1,3
88,88,C57BL6NJ,rA.hvPR8(1245678).lvPR8(3).H1N1.1,3
89,89,C57BL6NJ,rA.hvPR8(1235678).lvPR8(4).H1N1.1,4
90,90,C57BL6NJ,rA.hvPR8(1234678).lvPR8(5).H1N1.1,3
91,91,C57BL6NJ,rA.hvPR8(1234578).lvPR8(6).H1N1.1,3
92,92,C57BL6NJ,rA.hvPR8(1234568).lvPR8(7).H1N1.1,3
93,93,C57BL6NJ,rA.hvPR8(1234567).lvPR8(8).H1N1.1,3
94,94,C57BL6NJ,rA.hvPR8(123578).lvPR8(46).H1N1.1,7
95,95,C57BL6NJ,rA.hvPR8(4).lvPR8(1235678).H1N1.1,5
96,96,C57BL6NJ,rA.hvPR8(6).lvPR8(1234578).H1N1.1,7
97,97,C57BL6NJ,rA.hvPR8(46).lvPR8(123578).H1N1.1,5
98,98,C57BL6NJ,rA.hvPR8(123).lvPR8(45678).H1N1.1,7
99,99,C57BL6NJ,rA.hvPR8(12346).lvPR8(578).H1N1.1,3
100,100,C57BL6NJ,A.Hamburg.05.2009.H1N1.1,6
101,101,C57BL6NJ,A.Hamburg.NY1580.2009.H1N1.1,4
102,102,C57BL6NJ,A.Thailand.KAN-1.2004.H5N1.1,2
103,103,C57BL6NJ,A.Thailand.KAN-1.2004.H5N1.2,2
104,104,BALBcJ,A.SolomonIslands.3.2006.H1N1.1,7
105,105,BALBcJ,A.Hamburg.05.2009.H1N1.1,7
106,106,BALBcJ,A.Hamburg.NY1580.2009.H1N1.1,7
107,107,BALBcJ,A.Thailand.KAN-1.2004.H5N1.1,1
108,108,BALBcJ,A.Thailand.KAN-1.2004.H5N1.2,1
109,109,C57BL6NJ,rA.Hamburg.05.2009.H1N1.1,6
110,110,C57BL6NJ,rA.Hamburg.NY1580.2009.H1N1.1,4
111,111,C57BL6NJ,rA.HH05(2345678).HH15(1).H1N1.1,6
112,112,C57BL6NJ,rA.HH05(1345678).HH15(3).H1N1.1,5
113,113,C57BL6NJ,rA.HH05(1234678).HH15(5).H1N1.1,4
114,114,C57BL6NJ,rA.HH05(1235678).HH15(4).H1N1.1,4
115,115,C57BL6NJ,rA.HH05(1234578).HH15(6).H1N1.1,5
116,116,C57BL6NJ,rA.HH05(1234567).HH15(8).H1N1.1,6
117,117,C57BL6NJ,rA.HH05(24678).HH15(135).H1N1.1,4
118,118,C57BL6NJ,rA.HH05(123578).HH15(46).H1N1.1,4
119,119,C57BL6NJ,rA.Hamburg.05.NP100I.2009.H1N1.1,4
120,120,C57BL6NJ,rA.Hamburg.05.NP133L.2009.H1N1.1,3
121,121,C57BL6NJ,rA.Hamburg.05.NP373T.2009.H1N1.1,4
122,122,C57BL6NJ,rA.PuertoRico.8.1934.H1N1.1,4
123,123,C57BL6NJ,rA.PR8(1234567).MI63(8).H1N1.1,5
124,124,C57BL6NJ,rA.PR8(1234567).KYG11(8).H1N1.1,8
125,125,C57BL6NJ,A.PR8.LAIV.1934.H1N1.1,5
126,126,C57BL6NJ,A.PR8.LAIV.1934.H1N1.2,5
127,127,C57BL6NJ,A.PR8.LAIV.1934.H1N1.3,5
128,128,C57BL6NJ,A.PR8.11C.1934.H1N1.1,4
129,129,C57BL6NJ,A.PR8.11C.1934.H1N1.2,4
130,130,C57BL6NJ,A.PR8.11C.1934.H1N1.3,4
131,131,C57BL6NJ,A.PR8.LAIV11C.1934.H1N1.1,5
132,132,C57BL6NJ,A.PR8.LAIV11C.1934.H1N1.2,5
133,133,C57BL6NJ,A.PR8.LAIV11C.1934.H1N1.3,5
134,134,C57BL6NJ,A.seal.Massachussetts.1-SC35M.1980.H7N7.1,4
135,135,C57BL6NJ,A.swan.Germany.R65.2006.H5N1.1,2
136,136,C57BL6NJ,A.Shanghai.4664T.2013.H7N9.1,6
137,137,BALBcJ,A.Shanghai.4664T.2013.H7N9.1,6
138,138,C57BL6NJ,A.HongKong.156.1997.H5N1.1,3
139,139,C57BL6NJ,A.HongKong.156.1997.H5N1.2,3
140,140,BALBcJ,A.HongKong.156.1997.H5N1.1,6
141,141,BALBcJ,A.HongKong.156.1997.H5N1.2,6
142,142,BALBcJ,A.goose.HongKong.437-6.1999.H5N1.1,5
143,143,C57BL6NJ,A.PR8M.1934.H1N1.1,4
144,144,C57BL6NJ,A.PR8F.1934.H1N1.1,4
145,145,C57BL6NJ,A.hvPR8.1934.H1N1.1,4
146,146,C57BL6NJ,rA.PR8M(1235678).PR8F(4).H1N1.1,4
147,147,DBA2J,A.PR8M.1934.H1N1.1,4
148,148,DBA2J,A.PR8F.1934.H1N1.1,4
149,149,DBA2J,A.hvPR8.1934.H1N1.1,4
150,150,C57BL6NJ,A.Hunan.42443.2015.H1N1.1,5
151,151,C57BL6NJ,A.Jiangsu.1.2011.H1N1.1,7
152,152,C57BL6NJ,A.Jiangsu.1.2011.H1N1.2,7
153,153,C57BL6NJ,rA.BJ89(123578).PR8(46).H1N1.1,6
154,154,C57BL6NJ,rA.BJ89(123578).PR8(46).H1N1.2,6
155,155,C57BL6NJ,rA.BJ89(123578).PR8(46).H1N1.3,6
156,156,C57BL6NJ,A.PuertoRico.8.1934.MountSinai.H1N1.1,6
157,157,C57BL6NJ,A.Brazil.11.1978.H1N1.1,6
158,158,C57BL6NJ,rA.PR8vMountSinai(1235678).BRAZ78(4).H1N1.1,6
159,159,C57BL6NJ,maA.HongKong.1.1968.H3N2.1,3
160,160,C57BL6NJ,A.Memphis.1.1971.H3N2.1,5
161,161,C57BL6NJ,A.Bellamy.1942.H1N1.1,5
162,162,C57BL6NJ,rA.swine.Sweden.1021.2009.H1N2.1,5
163,163,C57BL6NJ,rA.swine.Sweden.9706.2010.H1N2.1,7
164,164,C57BL6NJ,rA.SWE1021(1345678).SWE9706(2).H1N2.1,6
165,165,C57BL6NJ,rA.SWE1021(2).SWE9706(1345678).H1N2.1,6
166,166,AJ,maA.HongKong.1.1968.H3N2.1,3
167,167,129S1SvImJ,maA.HongKong.1.1968.H3N2.1,3
168,168,NODShiLtJ,maA.HongKong.1.1968.H3N2.1,3
169,169,NZOHlLtJ,maA.HongKong.1.1968.H3N2.1,4
170,170,CASTEiJ,maA.HongKong.1.1968.H3N2.1,3
171,171,PWKPhJ,maA.HongKong.1.1968.H3N2.1,4
172,172,WSBEiJ,maA.HongKong.1.1968.H3N2.1,3
173,173,C57BL6NJ,A.mallard.Korea.W452.2014.H5N8.1,3
174,174,C57BL6NJ,A.ma452-G1-1.2014.H5N8.1,3
175,175,C57BL6NJ,A.ma452-G3-1.2014.H5N8.1,3
176,176,C57BL6NJ,A.ma452-G3-2.2014.H5N8.1,3
177,177,C57BL6NJ,A.ma452-G4-1.2014.H5N8.1,3
178,178,C57BL6NJ,A.environment.Korea.W468.2014.H5N8.1,3
179,179,C57BL6NJ,A.ma468-G1-1.2014.H5N8.1,3
180,180,C57BL6NJ,A.ma468-G1-2.2014.H5N8.1,3
181,181,C57BL6NJ,A.ma468-G2-1.2014.H5N8.1,3
182,182,C57BL6NJ,A.ma468-G2-2.2014.H5N8.1,3
183,183,C57BL6NJ,A.ma468-G2-3.2014.H5N8.1,3
184,184,C57BL6NJ,A.ma468-G4-2.2014.H5N8.1,3
185,185,BALBcJ,A.mallard.Korea.W452.2014.H5N8.1,3
186,186,BALBcJ,A.ma452-G1-1.2014.H5N8.1,3
187,187,BALBcJ,A.ma452-G3-1.2014.H5N8.1,3
188,188,BALBcJ,A.ma452-G3-2.2014.H5N8.1,3
189,189,BALBcJ,A.ma452-G4-1.2014.H5N8.1,3
190,190,BALBcJ,A.environment.Korea.W468.2014.H5N8.1,3
191,191,BALBcJ,A.ma468-G1-1.2014.H5N8.1,3
192,192,BALBcJ,A.ma468-G1-2.2014.H5N8.1,3
193,193,BALBcJ,A.ma468-G2-1.2014.H5N8.1,3
194,194,BALBcJ,A.ma468-G2-2.2014.H5N8.1,3
195,195,BALBcJ,A.ma468-G2-3.2014.H5N8.1,3
196,196,BALBcJ,A.ma468-G4-2.2014.H5N8.1,3
197,197,C57BL6NJ,rA.PR8(1234678).NL94(5).H1N1.1,4
198,198,C57BL6NJ,rA.PR8(1234678).NL94(5).G384R.H1N1.1,4
199,199,BALBcJ,A.PuertoRico.8.1934.H1N1.1,4
200,200,BALBcJ,A.PuertoRico.8.1934.H1N1.2,4
201,201,BALBcJ,A.PuertoRico.8.1934.H1N1.3,4
202,202,FVBNJ,A.PuertoRico.8.1934.H1N1.1,4
203,203,FVBNJ,A.PuertoRico.8.1934.H1N1.2,4
204,204,FVBNJ,A.PuertoRico.8.1934.H1N1.3,4
205,205,AJ,A.PuertoRico.8.1934.H1N1.1,4
206,206,AJ,A.PuertoRico.8.1934.H1N1.2,4
207,207,AJ,A.PuertoRico.8.1934.H1N1.3,4
208,208,CBAJ,A.PuertoRico.8.1934.H1N1.1,4
209,209,CBAJ,A.PuertoRico.8.1934.H1N1.2,4
210,210,CBAJ,A.PuertoRico.8.1934.H1N1.3,4
211,211,DBA2J,A.PuertoRico.8.1934.H1N1.1,2
212,212,DBA2J,A.PuertoRico.8.1934.H1N1.2,2
213,213,DBA2J,A.PuertoRico.8.1934.H1N1.3,2
214,214,DBA2J,A.seal.Massachussetts.1-SC35M.1980.H7N7.1,5
